"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam*,Piperacillin Sodium/Tazobactam*,"$309,468","89,238","4,760",706,$3.47,$65.01,$438.34,"$254,304","99,323","6,193",794,$2.56,$41.06,$320.28,"$211,500","104,090","4,419",892,$2.03,$47.86,$237.11,"$101,418","39,324","1,852",582,$2.58,$54.76,$174.26,"$113,036","30,370","2,401",587,$3.72,$47.08,$192.57,$2.73,44.32%,1.78%
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine*,Mepivacaine HCL*,"$59,288","16,045","10,143","6,896",$3.70,$5.85,$8.60,"$15,606","8,754","5,170","3,390",$1.78,$3.02,$4.60,"$22,182","9,593","5,605","3,582",$2.31,$3.96,$6.19,"$18,424","8,520","5,449","3,609",$2.16,$3.38,$5.11,"$18,638","8,685","5,185","3,405",$2.15,$3.59,$5.47,$2.20,-0.76%,-12.70%
J1410,"Injection, estrogen conjugated, per 25 mg",Premarin,"Estrogens, Conjugated","$270,660","3,400","2,647",874,$79.61,$102.25,$309.68,"$268,543","2,994","2,339",772,$89.69,$114.81,$347.85,"$160,515","1,892","1,576",607,$84.86,$101.85,$264.44,"$139,320","1,537","1,410",429,$90.64,$98.81,$324.76,"$128,714","1,310","1,207",367,$98.26,$106.64,$350.72,$241.75,8.40%,5.40%
90670,Pneumococcal vaccine for injection into muscle,Prevnar 13,Pneumococcal 13-Valent Vaccine,"$5,846,813","44,402","44,373","43,526",$131.68,$131.77,$134.33,"$19,138,941","140,948","140,770","138,586",$135.79,$135.96,$138.10,"$104,295,424","726,031","725,843","721,707",$143.65,$143.69,$144.51,"$915,792,694","5,767,522","5,755,846","5,705,979",$158.78,$159.11,$160.50,"$668,534,189","4,012,954","3,960,365","3,931,400",$166.59,$168.81,$170.05,$179.08,4.92%,6.06%
J2278,"Injection, ziconotide, 1 microgram",Prialt,Ziconotide Acetate,"$6,294,531","948,934","3,019",832,$6.63,"$2,084.97","$7,565.54","$5,469,290","812,068","2,449",727,$6.74,"$2,233.27","$7,523.09","$5,489,044","820,143","2,377",730,$6.69,"$2,309.23","$7,519.24","$5,790,404","844,765","2,388",753,$6.85,"$2,424.79","$7,689.78","$5,874,443","826,224","2,353",713,$7.11,"$2,496.58","$8,239.05",$7.24,3.73%,1.75%
Q4110,"Primatrix, per square centimeter","Primatrix, Per Square Centimeter**",,"$1,227,261","35,558","1,320",596,$34.51,$929.74,"$2,059.16","$3,760,684","103,992","3,880","1,594",$36.16,$969.25,"$2,359.27","$1,021,668","26,640","1,050",534,$38.35,$973.02,"$1,913.24","$1,139,562","31,230",912,440,$36.49,"$1,249.52","$2,589.91","$408,408","10,297",449,284,$39.66,$909.59,"$1,438.06",$43.45,8.70%,3.54%
J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",Privigen,Immun Glob G(Igg)/Pro/Iga 0-50,"$147,000,418","4,273,836","47,363","8,346",$34.40,"$3,103.70","$17,613.28","$165,381,405","4,626,807","50,005","8,435",$35.74,"$3,307.30","$19,606.57","$189,641,090","5,223,729","57,611","9,336",$36.30,"$3,291.75","$20,312.88","$208,426,143","5,631,599","62,887","9,698",$37.01,"$3,314.30","$21,491.66","$237,597,848","6,329,877","71,033","10,215",$37.54,"$3,344.89","$23,259.70",$38.16,1.42%,2.21%
J2690,"Injection, procainamide hcl, up to 1 gm",Procainamide HCL,Procainamide HCL,"$13,787","1,425","1,216",483,$9.68,$11.34,$28.54,"$15,925","1,190","1,011",470,$13.38,$15.75,$33.88,"$16,298",905,814,382,$18.01,$20.02,$42.66,"$13,456",572,548,259,$23.52,$24.55,$51.95,"$14,000",579,531,241,$24.18,$26.37,$58.09,$52.18,2.79%,25.73%
J0780,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate,"$7,712","4,827","4,306","2,283",$1.60,$1.79,$3.38,"$20,178","5,571","5,200","2,394",$3.62,$3.88,$8.43,"$37,991","5,978","5,539","2,489",$6.36,$6.86,$15.26,"$48,560","4,174","3,917","2,025",$11.63,$12.40,$23.98,"$42,415","3,708","3,627","1,782",$11.44,$11.69,$23.80,$12.43,-1.66%,63.58%
Q0164,"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Prochlorperazine Maleate,Prochlorperazine Maleate,$75,224,13,12,$0.33,$5.77,$6.25,$11,311,113,61,$0.04,$0.10,$0.18,$124,"2,596","1,091",236,$0.05,$0.11,$0.53,$263,"2,859","1,099",215,$0.09,$0.24,$1.22,$228,"2,274",940,183,$0.10,$0.24,$1.25,$0.05,9.18%,-26.02%
J2675,"Injection, progesterone, per 50 mg",Progesterone*,Progesterone*,"$2,609","1,033","1,015",315,$2.53,$2.57,$8.28,$940,622,585,164,$1.51,$1.61,$5.73,$645,583,581,148,$1.11,$1.11,$4.36,$557,492,474,149,$1.13,$1.18,$3.74,$707,641,619,154,$1.10,$1.14,$4.59,$1.14,-2.66%,-18.71%
J7525,"Tacrolimus, parenteral, 5 mg",Prograf,Tacrolimus,"$27,003",226,100,32,$119.48,$270.03,$843.85,"$26,801",197,117,33,$136.05,$229.07,$812.16,"$36,236",568,214,31,$63.80,$169.33,"$1,168.89","$49,724",662,269,50,$75.11,$184.85,$994.49,"$36,960",242,194,37,$152.73,$190.52,$998.93,$164.02,103.33%,6.33%
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol,"$359,663","193,690","12,278","11,405",$1.86,$29.29,$31.54,"$376,037","200,444","12,594","11,600",$1.88,$29.86,$32.42,"$346,056","191,176","12,033","11,089",$1.81,$28.76,$31.21,"$309,019","185,029","11,904","11,030",$1.67,$25.96,$28.02,"$259,226","157,320","10,177","9,515",$1.65,$25.47,$27.24,$1.68,-1.34%,-2.94%
J0897,"Injection, denosumab, 1 mg",Prolia*,Denosumab*,"$484,421,486","33,736,246","374,150","158,858",$14.36,"$1,294.73","$3,049.40","$631,091,673","45,099,134","518,243","229,162",$13.99,"$1,217.75","$2,753.91","$767,645,939","54,358,857","645,437","295,006",$14.12,"$1,189.34","$2,602.14","$917,119,239","62,492,440","760,357","357,332",$14.68,"$1,206.17","$2,566.57","$1,086,664,413","69,779,177","869,297","419,196",$15.57,"$1,250.05","$2,592.26",$15.86,6.11%,2.05%
J1800,"Injection, propranolol hcl, up to 1 mg",Propranolol HCL,Propranolol HCL,"$1,233",399,292,262,$3.09,$4.22,$4.71,"$1,052",361,241,213,$2.92,$4.37,$4.94,$519,349,224,204,$1.49,$2.32,$2.54,$606,225,122,96,$2.69,$4.97,$6.31,$408,137,80,62,$2.98,$5.10,$6.58,$2.85,10.60%,-0.91%
J2720,"Injection, protamine sulfate, per 10 mg",Protamine Sulfate,Protamine Sulfate,$168,304,202,182,$0.55,$0.83,$0.92,$505,622,335,294,$0.81,$1.51,$1.72,$791,787,432,298,$1.01,$1.83,$2.66,"$1,183","1,120",628,415,$1.06,$1.88,$2.85,"$1,220","1,107",568,397,$1.10,$2.15,$3.07,$1.13,4.38%,18.88%
Q2043,"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion",Provenge,Sipuleucel-T/Lactated Ringers,"$218,482,586","6,666","6,393","2,484","$32,775.67","$34,175.28","$87,955.95","$178,822,808","5,536","5,355","2,069","$32,301.81","$33,393.61","$86,429.58","$173,767,079","5,131","4,961","1,914","$33,866.12","$35,026.62","$90,787.40","$171,290,239","4,865","4,730","1,797","$35,208.68","$36,213.58","$95,320.11","$179,403,151","4,851","4,705","1,795","$36,982.72","$38,130.32","$99,946.05","$37,707.66",5.04%,3.07%
J7674,"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",Provocholine,Methacholine Chloride,"$64,364","131,363","2,674","2,642",$0.49,$24.07,$24.36,"$72,163","149,011","2,999","2,963",$0.48,$24.06,$24.35,"$89,571","184,679","3,313","3,283",$0.49,$27.04,$27.28,"$88,926","178,640","3,159","3,131",$0.50,$28.15,$28.40,"$90,092","179,392","3,111","3,088",$0.50,$28.96,$29.17,$0.52,0.89%,0.62%
J7639,"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Pulmozyme,Dornase Alfa,"$13,788,920","471,662","5,644","1,055",$29.23,"$2,443.11","$13,070.07","$15,491,582","497,295","6,154","1,137",$31.15,"$2,517.32","$13,624.96","$18,400,020","548,559","7,046","1,223",$33.54,"$2,611.41","$15,044.99","$21,077,361","575,682","7,335","1,232",$36.61,"$2,873.53","$17,108.25","$26,105,728","652,927","8,274","1,304",$39.98,"$3,155.15","$20,019.73",$40.69,9.20%,8.14%
J3415,"Injection, pyridoxine hcl, 100 mg",Pyridoxine HCL,Pyridoxine HCL (Vitamin B6),"$145,210","22,473","20,943","3,679",$6.46,$6.93,$39.47,"$154,866","22,363","21,347","3,557",$6.93,$7.25,$43.54,"$179,256","24,201","22,764","4,054",$7.41,$7.87,$44.22,"$208,573","27,840","23,077","4,294",$7.49,$9.04,$48.57,"$296,797","32,327","24,107","4,104",$9.18,$12.31,$72.32,$9.59,22.55%,9.18%
J7336,"Capsaicin 8% patch, per square centimeter",Qutenza,Capsaicin/Skin Cleanser,,,,,,,,,,,,,,,,,,,,,,"$168,370","62,162",198,153,$2.71,$850.35,"$1,100.45","$202,429","70,107",182,144,$2.89,"$1,112.25","$1,405.76",$2.94,6.60%,6.60%
J2780,"Injection, ranitidine hydrochloride, 25 mg",Ranitidine HCL*,Ranitidine HCL*,"$324,958","324,427","153,122","30,044",$1.00,$2.12,$10.82,"$405,967","327,626","158,401","27,456",$1.24,$2.56,$14.79,"$399,318","348,639","169,031","29,029",$1.15,$2.36,$13.76,"$353,800","334,600","162,175","26,731",$1.06,$2.18,$13.24,"$297,188","285,785","137,555","23,502",$1.04,$2.16,$12.65,$1.06,-1.65%,0.94%
J7520,"Sirolimus, oral, 1 mg",Rapamune*,Sirolimus*,"$47,348,667","4,237,246","63,972","8,416",$11.17,$740.15,"$5,626.03","$47,972,382","3,862,683","62,209","8,022",$12.42,$771.15,"$5,980.10","$52,879,375","3,574,223","60,720","7,695",$14.79,$870.87,"$6,871.91","$45,459,932","3,317,070","59,739","7,459",$13.70,$760.98,"$6,094.64","$27,277,880","3,212,087","59,903","7,385",$8.49,$455.37,"$3,693.69",$8.63,-38.03%,-6.63%
J3489,"Injection, zoledronic acid, 1 mg",Reclast*,Zoledronic Acid/Mannitol-Water*,,,,,,,,,,,,,,,"$124,960,634","1,719,429","397,375","192,496",$72.68,$314.47,$649.16,"$56,672,614","1,570,686","364,984","177,039",$36.08,$155.27,$320.11,"$29,542,104","1,483,253","337,578","166,297",$19.92,$87.51,$177.65,$20.69,-44.80%,-47.65%
J1745,"Injection infliximab, 10 mg",Remicade,Infliximab,"$1,003,041,902","15,805,038","341,475","59,360",$63.46,"$2,937.38","$16,897.61","$1,097,733,066","16,358,087","347,676","60,091",$67.11,"$3,157.34","$18,267.84","$1,172,950,346","16,591,744","347,797","59,770",$70.69,"$3,372.51","$19,624.40","$1,244,269,105","16,544,535","341,505","58,761",$75.21,"$3,643.49","$21,175.08","$1,338,726,191","16,696,318","340,149","58,397",$80.18,"$3,935.71","$22,924.57",$81.66,6.61%,6.02%
J3285,"Injection, treprostinil, 1 mg",Remodulin,Treprostinil Sodium,"$158,932,409","2,575,014","9,625","1,126",$61.72,"$16,512.46","$141,147.79","$164,341,548","2,691,833","9,781","1,160",$61.05,"$16,802.12","$141,673.75","$165,609,140","2,725,945","10,410","1,239",$60.75,"$15,908.66","$133,663.55","$174,820,358","2,880,195","10,603","1,212",$60.70,"$16,487.82","$144,241.22","$170,468,474","2,805,929","10,547","1,214",$60.75,"$16,162.75","$140,418.84",$61.24,0.09%,-0.39%
J0130,"Injection abciximab, 10 mg",Reopro,Abciximab,"$1,476,474","3,083","1,217","1,138",$478.91,"$1,213.21","$1,297.43","$1,434,963","2,730","1,130","1,072",$525.63,"$1,269.88","$1,338.59","$1,627,071","2,566","1,015",966,$634.09,"$1,603.03","$1,684.34","$243,480",528,260,217,$461.14,$936.46,"$1,122.03","$64,034",400,190,134,$160.09,$337.02,$477.87,"$1,094.41",-65.28%,-23.96%
J2791,"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu",Rhophylac,Rho(D) Immune Globulin,"$41,125","8,072",205,171,$5.09,$200.61,$240.50,"$33,845","7,039",250,222,$4.81,$135.38,$152.46,"$22,058","4,710",278,251,$4.68,$79.35,$87.88,"$23,103","4,927",316,290,$4.69,$73.11,$79.66,"$4,073",870,70,68,$4.68,$58.19,$59.90,$4.75,-0.15%,-2.09%
J3370,"Injection, vancomycin hcl, 500 mg",Rifampin*,Rifampin*,"$1,074,144","455,616","101,221","23,168",$2.36,$10.61,$46.36,"$837,627","429,248","97,979","22,789",$1.95,$8.55,$36.76,"$723,503","351,009","81,827","19,082",$2.06,$8.84,$37.92,"$1,009,184","348,282","76,351","17,179",$2.90,$13.22,$58.75,"$950,295","299,987","70,173","14,726",$3.17,$13.54,$64.53,$3.17,9.32%,7.66%
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",Rimso-50,Dimethyl Sulfoxide,"$1,271,428","15,149","14,948","3,389",$83.93,$85.06,$375.16,"$1,235,502","15,266","14,999","3,281",$80.93,$82.37,$376.56,"$961,400","12,643","12,417","2,468",$76.04,$77.43,$389.55,"$1,242,757","12,025","11,947","2,323",$103.35,$104.02,$534.98,"$2,529,399","10,737","10,635","2,238",$235.57,$237.84,"$1,130.20",$366.26,127.94%,29.43%
J2794,"Injection, risperidone, long acting, 0.5 mg",Risperdal Consta,Risperidone Microspheres,"$11,032,723","2,145,000","22,328","3,336",$5.14,$494.12,"$3,307.17","$10,072,276","1,816,533","20,174","2,918",$5.54,$499.27,"$3,451.77","$8,974,450","1,532,172","17,029","2,391",$5.86,$527.01,"$3,753.43","$7,892,522","1,224,916","14,054","2,033",$6.44,$561.59,"$3,882.20","$6,357,303","883,538","10,315","1,559",$7.20,$616.32,"$4,077.81",$7.55,11.67%,8.75%
J9310,"Injection, rituximab, 100 mg",Rituxan,Rituximab,"$1,422,574,939","2,314,226","277,588","68,394",$614.71,"$5,124.77","$20,799.70","$1,505,622,722","2,264,630","279,006","69,958",$664.84,"$5,396.38","$21,521.81","$1,501,477,047","2,181,864","267,856","68,732",$688.16,"$5,605.54","$21,845.39","$1,563,325,009","2,157,119","261,920","68,616",$724.73,"$5,968.71","$22,783.68","$1,665,667,928","2,176,057","261,506","69,941",$765.45,"$6,369.52","$23,815.33",$780.81,5.62%,5.64%
J7200,"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu",Rixubis,Factor Ix Human Recombinant,,,,,,,,,,,,,,,,,,,,,,"$7,801,767","318,124",186,19,$24.52,"$41,944.98","$410,619.29","$12,312,028","21,925",319,22,$561.55,"$38,595.70","$559,637.63",$1.24,2189.78%,2189.78%
J2353,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Sandostatin Lar*,"Octreotide Acetate,mi-Spheres*","$275,984,353","2,240,840","77,085","9,790",$123.16,"$3,580.26","$28,190.43","$303,563,689","2,316,230","79,626","10,144",$131.06,"$3,812.37","$29,925.44","$341,624,404","2,628,792","84,966","10,600",$129.95,"$4,020.72","$32,228.72","$380,259,870","2,574,503","87,733","10,911",$147.70,"$4,334.29","$34,851.06","$411,511,774","2,566,214","87,244","10,711",$160.36,"$4,716.79","$38,419.55",$163.51,8.57%,6.82%
J1602,"Injection, golimumab, 1 mg, for intravenous use",Simponi Aria,Golimumab,,,,,,,,,,,,,,,"$61,595,648","2,608,760","15,065","4,312",$23.61,"$4,088.66","$14,284.70","$126,167,510","5,319,855","30,508","7,745",$23.72,"$4,135.55","$16,290.19","$186,707,915","7,714,217","44,055","10,521",$24.20,"$4,238.06","$17,746.21",$24.62,2.05%,1.25%
J0480,"Injection, basiliximab, 20 mg",Simulect,Basiliximab,"$767,562",350,318,196,"$2,193.03","$2,413.72","$3,916.13","$721,741",301,271,174,"$2,397.81","$2,663.25","$4,147.94","$710,157",281,269,175,"$2,527.25","$2,639.99","$4,058.04","$936,068",341,337,214,"$2,745.07","$2,777.65","$4,374.15","$1,025,318",337,325,202,"$3,042.49","$3,154.83","$5,075.83","$3,106.04",10.83%,8.53%
J7030,"Infusion, normal saline solution , 1000 cc",Sodium Chloride (J7030),0.9 % Sodium Chloride,"$396,035","341,490","282,153","96,390",$1.16,$1.40,$4.11,"$380,700","324,671","277,506","92,501",$1.17,$1.37,$4.12,"$377,457","286,245","254,343","86,918",$1.32,$1.48,$4.34,"$449,263","285,818","257,249","86,549",$1.57,$1.75,$5.19,"$560,238","293,144","265,615","89,746",$1.91,$2.11,$6.24,$1.94,21.58%,13.30%
J7040,"Infusion, normal saline solution, sterile (500 ml=1 unit)",Sodium Chloride (J7040),0.9 % Sodium Chloride,"$270,690","473,587","368,117","101,102",$0.57,$0.74,$2.68,"$231,862","416,757","334,774","94,842",$0.56,$0.69,$2.44,"$244,924","368,250","298,514","86,899",$0.67,$0.82,$2.82,"$267,077","339,444","277,965","82,143",$0.79,$0.96,$3.25,"$297,876","312,422","257,981","76,903",$0.95,$1.15,$3.87,$0.97,21.18%,13.65%
J7050,"Infusion, normal saline solution , 250 cc",Sodium Chloride (J7050),0.9 % Sodium Chloride,"$489,367","1,617,097","1,014,325","252,121",$0.30,$0.48,$1.94,"$437,491","1,452,198","920,065","219,439",$0.30,$0.48,$1.99,"$421,434","1,251,738","819,210","195,622",$0.34,$0.51,$2.15,"$418,348","1,056,323","694,616","166,864",$0.40,$0.60,$2.51,"$468,969","966,239","629,853","150,957",$0.49,$0.74,$3.11,$0.48,22.55%,12.54%
J1300,"Injection, eculizumab, 10 mg",Soliris,Eculizumab,"$97,672,755","508,076","4,870",311,$192.24,"$20,056.01","$314,060.31","$141,865,320","719,849","6,382",412,$197.08,"$22,228.98","$344,333.30","$178,438,534","883,047","7,505",505,$202.07,"$23,775.95","$353,343.63","$233,271,995","1,115,536","9,227",622,$209.11,"$25,281.46","$375,035.36","$267,076,533","1,253,077","10,374",698,$213.14,"$25,744.80","$382,631.14",$217.84,1.92%,2.61%
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Solu-Cortef*,HydrocortIsone Sod Succinate*,"$255,924","61,677","54,307","16,493",$4.15,$4.71,$15.52,"$280,767","60,693","53,398","16,107",$4.63,$5.26,$17.43,"$295,551","55,367","49,328","15,386",$5.34,$5.99,$19.21,"$346,175","52,897","47,391","14,076",$6.54,$7.30,$24.59,"$411,520","54,802","49,284","14,167",$7.51,$8.35,$29.05,$7.91,14.75%,15.99%
J1930,"Injection, lanreotide, 1 mg",Somatuline Depot,Lanreotide Acetate,"$1,122,382","34,166",363,55,$32.85,"$3,091.96","$20,406.94","$1,624,095","46,405",466,64,$35.00,"$3,485.18","$25,376.48","$2,500,215","64,117",632,101,$38.99,"$3,956.04","$24,754.61","$27,090,009","585,085","5,043","1,046",$46.30,"$5,371.80","$25,898.67","$79,538,460","1,631,478","13,806","2,188",$48.75,"$5,761.15","$36,352.13",$49.33,5.29%,10.37%
J3357,"Injection, ustekinumab, 1 mg",Stelara,Ustekinumab,"$9,219,536","73,987","1,385",523,$124.61,"$6,656.70","$17,628.18","$15,232,712","115,936","2,067",738,$131.39,"$7,369.48","$20,640.53","$21,352,869","143,267","2,456",905,$149.04,"$8,694.16","$23,594.33","$31,331,249","197,753","3,453","1,218",$158.44,"$9,073.63","$25,723.52","$46,408,889","292,038","4,965","1,752",$158.91,"$9,347.21","$26,489.09",$170.66,0.30%,6.27%
J2770,"Injection, quinupristin/dalfopristin, 500 mg (150/350)",Synercid,Quinupristin/Dalfopristin,"$73,276",427,231,206,$171.61,$317.21,$355.71,"$108,789",595,275,243,$182.84,$395.60,$447.69,"$168,063",799,390,313,$210.34,$430.93,$536.94,"$208,569",767,366,329,$271.93,$569.86,$633.95,"$86,388",335,209,197,$257.88,$413.34,$438.52,$364.41,-5.17%,10.72%
J7325,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",Synvisc*,Hylan G-F 20*,"$151,508,120","12,370,034","321,135","183,564",$12.25,$471.79,$825.37,"$148,842,065","12,166,649","305,572","178,130",$12.23,$487.09,$835.58,"$142,097,002","11,575,681","284,321","167,820",$12.28,$499.78,$846.72,"$141,664,032","11,319,560","273,811","162,602",$12.51,$517.38,$871.23,"$139,637,340","11,103,038","264,791","158,357",$12.58,$527.35,$881.79,$12.80,0.49%,0.66%
J3070,"Injection, pentazocine, 30 mg",Talwin,Pentazocine Lactate,"$28,497","2,090","2,037",575,$13.63,$13.99,$49.56,"$6,684",404,393,254,$16.57,$17.01,$26.32,"$8,838",161,122,85,$54.89,$72.44,$103.97,"$132,257","1,174",109,82,$112.66,"$1,213.37","$1,612.89","$24,896",234,98,54,$106.39,$254.04,$461.04,$133.58,-5.56%,67.13%
J0712,"Injection, ceftaroline fosamil, 10 mg",Teflaro,Ceftaroline Fosamil Acetate,"$266,341","353,458","2,423","1,265",$0.75,$109.92,$210.55,"$485,826","608,908","3,648","2,332",$0.80,$133.18,$208.33,"$88,827","88,305",873,105,$1.01,$101.75,$845.97,"$257,972","125,195",742,81,$2.06,$347.67,"$3,184.84","$940,039","404,342","2,514","1,411",$2.32,$373.92,$666.22,$2.38,12.83%,32.53%
J8700,"Temozolomide, oral, 5 mg",Temodar (J8700)*,Temozolomide*,"$76,032,418","1,348,093","19,795","5,144",$56.40,"$3,840.99","$14,780.80","$81,804,481","1,211,998","20,477","5,374",$67.50,"$3,994.94","$15,222.27","$56,102,599","1,331,452","22,281","5,644",$42.14,"$2,517.96","$9,940.22","$25,079,427","1,270,682","21,830","5,343",$19.74,"$1,148.85","$4,693.88","$23,896,952","1,205,348","21,756","5,384",$19.83,"$1,098.41","$4,438.51",$3.18,0.45%,-23.00%
J9328,"Injection, temozolomide, 1 mg",Temodar (J9328),Temozolomide,"$1,313,169","274,074",722,65,$4.79,"$1,818.79","$20,202.60","$1,162,744","239,678",650,55,$4.85,"$1,788.84","$21,140.81","$1,014,937","197,736",673,58,$5.13,"$1,508.08","$17,498.92","$962,017","155,313",375,37,$6.19,"$2,565.38","$26,000.45","$937,701","130,272",269,38,$7.20,"$3,485.88","$24,676.35",$7.44,16.21%,10.71%
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",Tenivac*,Tetanus-Diphtheria Toxoids/PF*,"$498,794","25,610","25,602","25,572",$19.48,$19.48,$19.51,"$1,065,632","54,785","54,777","54,648",$19.45,$19.45,$19.50,"$1,181,302","57,211","57,211","57,093",$20.65,$20.65,$20.69,"$1,387,091","69,652","69,651","69,526",$19.91,$19.91,$19.95,"$1,882,331","83,741","83,739","83,564",$22.48,$22.48,$22.53,$23.05,12.87%,3.65%
J3105,"Injection, terbutaline sulfate, up to 1 mg",Terbutaline Sulfate,Terbutaline Sulfate,"$1,936",406,380,269,$4.77,$5.10,$7.20,"$1,088",440,421,277,$2.48,$2.58,$3.93,"$1,093",411,385,241,$2.66,$2.84,$4.54,"$1,305",378,354,210,$3.45,$3.69,$6.21,"$1,041",489,447,270,$2.13,$2.33,$3.86,$2.15,-38.34%,-18.26%
Q4121,"Theraskin, per square centimeter","Theraskin, Per Square Centimeter**",,"$1,381,216","62,130","1,377",687,$22.23,"$1,003.06","$2,010.50","$2,598,215","115,699","2,547","1,309",$22.46,"$1,020.11","$1,984.89","$1,069,615","78,883","1,673",877,$13.56,$639.34,"$1,219.63","$3,076,927","134,357","2,632","1,266",$22.90,"$1,169.05","$2,430.43","$4,840,614","180,527","4,912","2,149",$26.81,$985.47,"$2,252.50",$40.24,17.09%,4.80%
J3411,"Injection, thiamine hcl, 100 mg",Thiamine HCL,Thiamine HCL,"$77,373","23,985","22,440","4,729",$3.23,$3.45,$16.36,"$83,739","24,166","22,951","4,926",$3.47,$3.65,$17.00,"$91,823","27,125","25,669","5,262",$3.39,$3.58,$17.45,"$90,329","27,190","22,812","4,875",$3.32,$3.96,$18.53,"$85,815","26,872","20,078","4,266",$3.19,$4.27,$20.12,$3.26,-3.87%,-0.25%
J7511,"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg",Thymoglobulin,"Lymphocyte Immune Glob,rabbit","$1,349,815","3,093",586,317,$436.41,"$2,303.44","$4,258.09","$1,826,725","3,348",679,347,$545.62,"$2,690.32","$5,264.34","$1,909,455","3,381",638,373,$564.76,"$2,992.88","$5,119.18","$1,888,893","3,145",585,357,$600.60,"$3,228.88","$5,291.02","$2,036,854","3,126",567,370,$651.58,"$3,592.34","$5,505.01",$664.90,8.49%,10.54%
J3240,"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",Thyrogen,Thyrotropin Alfa,"$10,313,547","10,127","7,958","5,152","$1,018.42","$1,296.00","$2,001.85","$11,297,678","10,667","8,469","5,360","$1,059.12","$1,334.00","$2,107.78","$13,692,157","10,765","8,483","5,329","$1,271.91","$1,614.07","$2,569.37","$14,335,820","10,397","8,125","5,094","$1,378.84","$1,764.41","$2,814.26","$14,340,450","9,943","7,873","4,874","$1,442.27","$1,821.47","$2,942.23","$1,507.70",4.60%,9.09%
J3250,"Injection, trimethobenzamide hcl, up to 200 mg",Tigan*,Trimethobenzamide HCL*,"$62,078","8,179","7,742","5,596",$7.59,$8.02,$11.09,"$68,198","7,084","6,760","4,787",$9.63,$10.09,$14.25,"$69,956","5,664","5,388","3,916",$12.35,$12.98,$17.86,"$88,892","5,141","4,691","3,204",$17.29,$18.95,$27.74,"$128,395","6,035","5,355","2,595",$21.28,$23.98,$49.48,$24.64,23.05%,29.39%
J3101,"Injection, tenecteplase, 1 mg",Tnkase,Tenecteplase,"$5,714,560","88,443","2,095","2,064",$64.61,"$2,727.71","$2,768.68","$5,863,955","79,928","1,805","1,792",$73.37,"$3,248.73","$3,272.30","$5,827,244","73,513","1,715","1,687",$79.27,"$3,397.81","$3,454.21","$6,369,187","72,969","1,660","1,613",$87.29,"$3,836.86","$3,948.66","$6,687,853","69,493","1,616","1,573",$96.24,"$4,138.52","$4,251.65",$98.03,10.26%,10.47%
J3260,"Injection, tobramycin sulfate, up to 80 mg",Tobramycin Sulfate,Tobramycin Sulfate,"$71,109","30,018","15,031","7,857",$2.37,$4.73,$9.05,"$70,060","23,185","11,901","6,047",$3.02,$5.89,$11.59,"$58,748","22,475","12,863","6,460",$2.61,$4.57,$9.09,"$63,098","24,870","13,361","6,302",$2.54,$4.72,$10.01,"$45,792","20,274","10,935","5,186",$2.26,$4.19,$8.83,$2.22,-10.97%,-1.18%
J9330,"Injection, temsirolimus, 1 mg",Torisel,Temsirolimus,"$30,759,137","586,800","20,735","1,842",$52.42,"$1,483.44","$16,698.77","$28,636,641","520,795","17,810","1,695",$54.99,"$1,607.90","$16,894.77","$27,600,710","486,482","16,518","1,548",$56.74,"$1,670.95","$17,829.92","$24,616,375","410,217","13,776","1,340",$60.01,"$1,786.90","$18,370.43","$17,385,061","273,443","9,448",931,$63.58,"$1,840.08","$18,673.53",$64.93,5.95%,4.94%
